,id_x,release_date,title,production_budget,domestic_gross,worldwide_gross,domestic_roi,worldwide_roi,id_y,original_language,original_title,popularity,vote_average,vote_count,title_change
360,30,2016-01-15,13 Hours: The Secret Soldiers of Benghazi,50000000.0,52853219.0,69411370.0,5.7064379999999995,38.82274,300671,en,13 Hours: The Secret Soldiers of Benghazi,21.486,7.0,1573,False
361,32,2017-09-29,American Made,50000000.0,51342000.0,135569212.0,2.6839999999999997,171.138424,337170,en,American Made,16.748,6.7,2188,False
362,35,2014-10-17,The Book of Life,50000000.0,50151543.0,97651543.0,0.30308599999999997,95.30308600000001,228326,en,The Book of Life,11.392000000000001,7.4,1228,False
363,40,2014-08-08,Into the Storm,50000000.0,47602194.0,150429371.0,-4.795612,200.858742,216282,en,Into the Storm,8.884,5.8,1169,False
364,41,2014-10-10,The Judge,50000000.0,47119388.0,76119388.0,-5.761224,52.238776,205587,en,The Judge,16.464000000000002,7.3,2356,False
365,45,2016-08-19,War Dogs,50000000.0,43034523.0,86234503.0,-13.930954000000002,72.46900600000001,308266,en,War Dogs,10.654000000000002,6.8,2387,False
366,56,2016-05-20,The Nice Guys,50000000.0,36261763.0,59596747.0,-27.476474,19.193494,290250,en,The Nice Guys,13.743,7.1,4272,False
367,59,2010-06-04,Marmaduke,50000000.0,33644788.0,89895930.0,-32.710423999999996,79.79186,38579,en,Marmaduke,8.487,5.1,367,False
368,63,1995-10-06,Assassins,50000000.0,30306268.0,83306268.0,-39.387464,66.612536,9691,en,Assassins,10.579,6.2,666,False
369,64,2016-02-12,Zoolander 2,50000000.0,28848693.0,55348693.0,-42.302614,10.697386,329833,en,Zoolander 2,12.997,4.7,1374,False
370,68,2013-03-29,The Host,50000000.0,26623701.0,64477051.0,-46.752598,28.954102,72710,en,The Host,11.458,6.2,2788,False
371,70,2015-03-13,Run All Night,50000000.0,26461644.0,66961644.0,-47.076712,33.923288,241554,en,Run All Night,17.592,6.4,1684,False
372,78,2011-04-08,Your Highness,50000000.0,21596445.0,26121638.0,-56.80711000000001,-47.756724,38319,en,Your Highness,12.254000000000001,5.3,735,False
373,79,2016-09-16,Snowden,50000000.0,21587519.0,35380918.0,-56.824962,-29.238164,302401,en,Snowden,13.703,7.1,2427,False
374,80,2011-09-30,Dream House,50000000.0,21302340.0,41642166.0,-57.395320000000005,-16.715668,69668,en,Dream House,9.047,6.0,670,False
375,81,2016-06-24,Free State of Jones,50000000.0,20810036.0,23237252.0,-58.37992800000001,-53.525496,316152,en,Free State of Jones,8.574,6.6,787,False
376,85,2013-02-14,Beautiful Creatures,50000000.0,19452138.0,60282876.0,-61.095724,20.565752,109491,en,Beautiful Creatures,11.198,5.7,1826,False
377,98,2018-02-16,Early Man,50000000.0,8267544.0,45285890.0,-83.464912,-9.42822,387592,en,Early Man,16.675,5.9,338,False
