,title,year,runtime_minutes,genres,averagerating,numvotes,studio,domestic_gross_x,foreign_gross,release_date,production_budget,worldwide_gross,domestic_roi,worldwide_roi,original_language,original_title,popularity,vote_average,vote_count,title_change
701,The Amazing Spider-Man 2,2014.0,142.0,"Action,Adventure,Sci-Fi",6.6,388363.0,Sony,202900000.0,1.0,2014-05-02,200000000.0,708996336.0,0.014269665,2.54498168,en,The Amazing Spider-Man 2,20.846999999999998,6.4,7220,False
702,The American,2010.0,105.0,"Crime,Drama,Thriller",6.3,86863.0,Focus,35600000.0,1.0,2010-09-01,20000000.0,67950723.0,0.7803188,2.39753615,en,The American,9.042,5.8,690,False
703,The Angry Birds Movie,2016.0,87.0,,6.5,49.0,Sony,107500000.0,1.0,2016-05-20,73000000.0,352327887.0,0.4727310410958904,3.826409410958904,en,The Angry Birds Movie,17.998,6.0,1851,False
704,The Apparition,2012.0,83.0,"Horror,Thriller",4.1,18112.0,WB,4900000.0,1.0,2012-08-24,17000000.0,10637281.0,-0.7095988823529412,-0.3742775882352941,en,The Apparition,7.7139999999999995,4.3,221,False
705,The Art of Getting By,2011.0,83.0,"Drama,Romance",6.6,53682.0,FoxS,1400000.0,0.0,2011-06-17,4000000.0,1989035.0,-0.64243975,-0.50274125,en,The Art of Getting By,8.695,6.5,752,False
706,The Avengers,2012.0,143.0,"Action,Adventure,Sci-Fi",8.1,1183655.0,,,0.0,2012-05-04,225000000.0,1517935897.0,1.77013132,5.746381764444444,en,The Avengers,50.288999999999994,7.6,19673,False
707,The BFG,2016.0,117.0,"Adventure,Family,Fantasy",6.4,69340.0,BV,55500000.0,1.0,2016-07-01,140000000.0,199646680.0,-0.6036873571428572,0.4260477142857143,en,The BFG,20.08,6.2,1916,False
708,The Babadook,2014.0,94.0,"Drama,Horror",6.8,171411.0,IFC,964000.0,1.0,2014-11-28,2000000.0,7482387.0,-0.524604,2.7411935,en,The Babadook,11.502,6.4,3528,False
709,The Best Man Holiday,2013.0,123.0,"Comedy,Drama",6.7,13967.0,Uni.,70500000.0,1.0,2013-11-15,17000000.0,72835710.0,3.148540882352941,3.2844535294117647,en,The Best Man Holiday,8.581,6.6,145,False
710,The Best of Me,2014.0,118.0,"Drama,Romance",6.7,59750.0,Rela.,26800000.0,1.0,2014-10-17,26000000.0,41059418.0,0.02946973076923077,0.5792083846153846,en,The Best of Me,8.622,7.3,1512,False
