,title,year,runtime_minutes,genres,averagerating,numvotes,studio,domestic_gross_x,foreign_gross,release_date,production_budget,worldwide_gross,domestic_roi,worldwide_roi,original_language,original_title,popularity,vote_average,vote_count,title_change
0,#Horror,2015.0,101.0,"Crime,Drama,Horror",3.0,3092.0,,,0.0,2015-11-20,1500000.0,0.0,-1.0,-1.0,de,#Horror,6.099,3.3,102,False
1,10 Cloverfield Lane,2016.0,103.0,"Drama,Horror,Mystery",7.2,260383.0,Par.,72100000.0,1.0,2016-03-11,5000000.0,108286422.0,13.4165998,20.6572844,en,10 Cloverfield Lane,17.892,6.9,4629,False
2,12 Strong,2018.0,130.0,"Action,Drama,History",6.6,50155.0,WB,45800000.0,1.0,2018-01-19,35000000.0,71118378.0,0.30913465714285715,1.0319536571428571,en,12 Strong,13.183,5.6,1312,False
3,127 Hours,2010.0,94.0,"Adventure,Biography,Drama",7.6,323949.0,FoxS,18300000.0,1.0,2010-11-05,18000000.0,60217171.0,0.018623888888888888,2.345398388888889,en,127 Hours,11.435,7.0,4469,False
4,13 Hours: The Secret Soldiers of Benghazi,2016.0,87.0,,6.5,49.0,Par.,52900000.0,1.0,2016-01-15,50000000.0,69411370.0,0.05706438,0.3882274,en,13 Hours: The Secret Soldiers of Benghazi,21.486,7.0,1573,False
5,13 Sins,2014.0,93.0,"Horror,Thriller",6.3,29550.0,RTWC,13800.0,0.0,2014-04-18,4000000.0,47552.0,-0.9977165,-0.988112,en,13 Sins,10.899000000000001,6.3,576,False
6,2 Guns,2013.0,109.0,"Action,Comedy,Crime",6.7,182025.0,Uni.,75600000.0,1.0,2013-08-02,61000000.0,132493015.0,0.23954852459016393,1.1720166393442624,en,2 Guns,14.8,6.5,2368,False
7,22 Jump Street,2014.0,112.0,"Action,Comedy,Crime",7.0,319504.0,Sony,191700000.0,1.0,2014-06-13,50000000.0,331333876.0,2.83438674,5.62667752,en,22 Jump Street,11.175999999999998,6.9,5167,False
8,23 Blast,2014.0,98.0,"Drama,Family,Sport",6.5,1567.0,,,0.0,2014-10-24,1000000.0,549185.0,-0.450815,-0.450815,en,23 Blast,2.213,6.5,31,False
9,30 Minutes or Less,2011.0,83.0,"Action,Comedy,Crime",6.1,87254.0,Sony,37100000.0,1.0,2011-08-12,28000000.0,40966716.0,0.3233544285714286,0.463097,en,30 Minutes or Less,11.315,5.6,825,False
10,300: Rise of an Empire,2014.0,102.0,"Action,Fantasy,War",6.2,262978.0,,,0.0,2014-03-07,110000000.0,330780051.0,-0.031090445454545455,2.0070913727272726,en,300: Rise of an Empire,23.68,6.0,3870,False
11,31,2016.0,102.0,"Horror,Thriller",5.1,15055.0,,,0.0,2016-10-21,1500000.0,922727.0,-0.48012,-0.38484866666666667,en,31,8.683,5.2,370,False
12,42,2013.0,128.0,"Biography,Drama,Sport",7.5,77703.0,,,0.0,2013-04-12,31000000.0,97470701.0,2.0651681612903228,2.1442161612903226,en,42,11.28,7.0,1028,False
13,47 Ronin,2013.0,128.0,"Action,Adventure,Drama",6.3,135754.0,Uni.,38400000.0,1.0,2013-12-25,175000000.0,151716815.0,-0.7807858571428572,-0.13304677142857144,en,47 Ronin,25.049,6.0,2080,False
14,50 to 1,2014.0,110.0,Drama,6.6,1739.0,,,0.0,2014-03-21,10000000.0,1069454.0,-0.8930546,-0.8930546,en,50 to 1,2.852,6.2,25,False
15,90 Minutes in Heaven,2015.0,121.0,Drama,4.8,3105.0,,,0.0,2015-09-11,5000000.0,4816142.0,-0.0367716,-0.0367716,en,90 Minutes in Heaven,5.797999999999999,5.3,63,False
16,A Bad Moms Christmas,2017.0,104.0,"Adventure,Comedy",5.5,33056.0,STX,72100000.0,1.0,2017-11-01,28000000.0,127710550.0,1.5753806785714286,3.5610910714285713,en,A Bad Moms Christmas,16.604,6.3,1044,False
17,A Better Life,2011.0,98.0,"Drama,Romance",7.2,14602.0,Sum.,1800000.0,0.0,2011-06-24,10000000.0,1884251.0,-0.8240748,-0.8115749,en,A Better Life,5.885,7.1,97,False
18,A Dangerous Method,2011.0,99.0,"Biography,Drama,Romance",6.4,93259.0,SPC,5700000.0,1.0,2011-11-23,20000000.0,14807531.0,-0.71489585,-0.25962345,en,A Dangerous Method,10.352,6.3,1066,False
19,A Ghost Story,2017.0,92.0,"Drama,Fantasy,Romance",6.8,46280.0,A24,1600000.0,0.0,2017-07-07,100000.0,2769782.0,14.94798,26.69782,en,A Ghost Story,11.886,7.0,906,False
20,A Good Day to Die Hard,2013.0,98.0,"Action,Thriller",5.3,188383.0,Fox,67300000.0,1.0,2013-02-14,92000000.0,304249198.0,-0.2679435,2.3070565,en,A Good Day to Die Hard,15.857999999999999,5.2,4437,False
21,A Haunted House,2013.0,86.0,"Comedy,Fantasy",5.1,40308.0,ORF,40000000.0,1.0,2013-01-11,2500000.0,59922558.0,15.0166732,22.9690232,en,A Haunted House,6.909,5.5,871,False
22,A Haunted House 2,2014.0,86.0,"Comedy,Fantasy",4.7,18085.0,ORF,17300000.0,1.0,2014-04-18,4000000.0,21206861.0,3.33237175,4.30171525,en,A Haunted House 2,6.9479999999999995,5.5,597,False
23,A Hologram for the King,2016.0,98.0,"Comedy,Drama,Romance",6.1,36062.0,RAtt.,4200000.0,0.0,2016-04-22,35000000.0,11846010.0,-0.8796430285714286,-0.6615425714285714,en,A Hologram for the King,11.055,5.9,589,False
24,A Most Violent Year,2014.0,125.0,"Crime,Drama,Thriller",7.0,60165.0,A24,5700000.0,1.0,2014-12-31,20000000.0,8846875.0,-0.7125433,-0.55765625,en,A Most Violent Year,12.270999999999999,6.6,792,False
25,A Most Wanted Man,2014.0,122.0,"Crime,Drama,Thriller",6.8,67914.0,RAtt.,17200000.0,1.0,2014-07-25,15000000.0,36068890.0,0.14919033333333334,1.4045926666666666,en,A Most Wanted Man,10.267000000000001,6.5,784,False
26,A Nightmare on Elm Street,2010.0,95.0,"Crime,Drama,Horror",5.2,85497.0,,,0.0,2010-04-30,35000000.0,117729621.0,0.8021431714285714,2.363703457142857,en,A Nightmare on Elm Street,9.795,5.5,1408,False
27,A Quiet Place,2018.0,90.0,"Drama,Horror,Sci-Fi",7.6,305031.0,Par.,188000000.0,1.0,2018-04-06,17000000.0,334522294.0,10.060256529411765,18.677782,en,A Quiet Place,29.154,7.3,5848,False
28,A Simple Favor,2018.0,117.0,"Comedy,Crime,Drama",6.9,83338.0,LGF,53500000.0,1.0,2018-09-14,20000000.0,97628717.0,1.6774293,3.88143585,en,A Simple Favor,21.121,6.6,1756,False
29,A Street Cat Named Bob,2016.0,103.0,"Biography,Comedy,Drama",7.4,23204.0,Cleopatra,82700.0,0.0,2016-11-18,8000000.0,17382693.0,-0.989662125,1.172836625,en,A Street Cat Named Bob,7.12,7.5,500,False
30,A Walk Among the Tombstones,2014.0,114.0,"Action,Crime,Drama",6.5,105116.0,Uni.,26300000.0,1.0,2014-09-19,28000000.0,62108587.0,-0.07079696428571429,1.2181638214285715,en,A Walk Among the Tombstones,19.373,6.3,1685,False
31,A Walk in the Woods,2015.0,104.0,"Adventure,Biography,Comedy",6.3,22033.0,BG,29500000.0,1.0,2015-09-02,8000000.0,37119358.0,2.68742425,3.63991975,en,A Walk in the Woods,6.935,5.9,402,False
32,A Wrinkle in Time,2018.0,109.0,"Adventure,Family,Fantasy",4.2,34888.0,BV,100500000.0,1.0,2018-03-09,103000000.0,133401882.0,-0.024479533980582523,0.29516390291262135,en,A Wrinkle in Time,12.529000000000002,5.0,1073,False
33,About Last Night,2014.0,100.0,"Comedy,Romance",6.1,21078.0,,,0.0,2014-02-14,13000000.0,50445860.0,2.741360307692308,2.880450769230769,en,About Last Night,8.465,6.0,312,False
34,Abraham Lincoln: Vampire Hunter,2012.0,105.0,"Action,Fantasy,Horror",5.9,142853.0,Fox,37500000.0,1.0,2012-06-22,67500000.0,137489730.0,-0.4441609037037037,1.0368848888888889,en,Abraham Lincoln: Vampire Hunter,12.498,5.6,2009,False
35,Acrimony,2018.0,120.0,"Drama,Romance,Thriller",5.7,6119.0,,,0.0,2018-03-30,20000000.0,46627836.0,1.1774548,1.3313918,en,Acrimony,10.6,6.6,186,False
36,Act of Valor,2012.0,110.0,"Action,Adventure,Drama",6.5,63787.0,Rela.,70000000.0,1.0,2012-02-24,12000000.0,82497035.0,4.834403916666667,5.874752916666667,en,Act of Valor,12.197000000000001,6.3,583,False
37,Action Point,2018.0,85.0,Comedy,5.0,6657.0,,,0.0,2018-06-01,19000000.0,5103675.0,-0.7337048421052632,-0.7313855263157895,en,Action Point,12.84,5.2,136,False
38,Admission,2013.0,107.0,"Comedy,Drama,Romance",5.7,31849.0,Focus,18000000.0,0.0,2013-03-22,13000000.0,18733666.0,0.38517823076923074,0.44105123076923075,en,Admission,8.065,5.5,385,False
39,Adrift,2018.0,96.0,"Action,Adventure,Biography",6.6,34115.0,STX,31400000.0,1.0,2018-06-01,35000000.0,57897191.0,-0.10157111428571429,0.6542054571428572,en,Adrift,16.785999999999998,6.7,1264,False
40,After Earth,2013.0,100.0,"Action,Adventure,Drama",4.8,181687.0,Sony,60500000.0,1.0,2013-05-31,130000000.0,251499665.0,-0.5344454076923076,0.9346128076923077,en,After Earth,14.415,5.1,4154,False
41,Ain't Them Bodies Saints,2013.0,96.0,"Crime,Drama,Romance",6.4,19464.0,IFC,397000.0,1.0,2013-08-16,5000000.0,1075009.0,-0.9216778,-0.7849982,en,Ain't Them Bodies Saints,8.166,6.2,217,False
42,Albert Nobbs,2011.0,113.0,"Drama,Romance",6.7,22213.0,RAtt.,3000000.0,1.0,2011-12-21,7500000.0,8539003.0,-0.5980405333333333,0.13853373333333333,en,Albert Nobbs,6.277,6.3,227,False
43,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014.0,81.0,"Comedy,Family",6.2,37325.0,BV,67000000.0,1.0,2014-10-10,28000000.0,101379287.0,1.391219607142857,2.6206888214285713,en,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.7829999999999995,6.2,817,False
44,Alice Through the Looking Glass,2016.0,113.0,"Adventure,Family,Fantasy",6.2,79951.0,BV,77000000.0,1.0,2016-05-27,170000000.0,276928112.0,-0.5468095235294118,0.628988894117647,en,Alice Through the Looking Glass,16.642,6.5,3803,False
45,Alice in Wonderland,2010.0,99.0,"Fantasy,Musical",6.5,6.0,,,0.0,2010-03-05,200000000.0,1025491110.0,0.67095555,4.12745555,en,Alice in Wonderland,22.02,6.6,8713,False
46,Alien: Covenant,2017.0,122.0,"Horror,Sci-Fi,Thriller",6.4,226920.0,Fox,74300000.0,1.0,2017-05-19,97000000.0,238521247.0,-0.23441205154639175,1.4589819278350515,en,Alien: Covenant,24.651,5.9,4971,False
47,All Eyez on Me,2017.0,139.0,"Biography,Drama,Music",5.8,18541.0,LG/S,44900000.0,0.0,2017-06-16,45000000.0,54876855.0,-0.0017266222222222223,0.21948566666666666,en,All Eyez on Me,7.249,6.4,695,False
48,All Good Things,2010.0,101.0,"Crime,Drama,Mystery",6.3,49684.0,Magn.,582000.0,1.0,2010-12-03,20000000.0,873617.0,-0.9708988,-0.95631915,en,All Good Things,7.871,6.0,493,False
49,All Saints,2017.0,108.0,Drama,6.0,1220.0,Affirm,5800000.0,1.0,2017-08-25,2000000.0,5941994.0,1.901104,1.970997,en,All Saints,4.042,6.1,25,False
50,All the Boys Love Mandy Lane,2013.0,87.0,,6.5,49.0,RTWC,,1.0,2013-10-11,750000.0,1960521.0,-1.0,1.614028,en,All the Boys Love Mandy Lane,10.03,5.5,326,False
51,Allied,2016.0,124.0,"Action,Drama,Romance",7.1,125741.0,Par.,40100000.0,1.0,2016-11-23,106000000.0,119266661.0,-0.6217163773584906,0.12515717924528302,en,Allied,19.611,6.7,2765,False
52,Almost Christmas,2016.0,111.0,"Comedy,Drama",6.1,5212.0,Uni.,42200000.0,1.0,2016-11-11,17000000.0,42493506.0,1.4744226470588235,1.499618,en,Almost Christmas,6.532,5.6,245,False
53,Aloha,2015.0,105.0,"Comedy,Drama,Romance",5.4,54646.0,Sony,21100000.0,1.0,2015-05-29,37000000.0,25387091.0,-0.43102621621621623,-0.3138624054054054,en,Aloha,9.685,5.3,1226,False
54,Alvin and the Chipmunks: Chipwrecked,2011.0,87.0,"Adventure,Animation,Comedy",4.4,28158.0,Fox,133100000.0,1.0,2011-12-16,80000000.0,349088523.0,0.6638423625,3.3636065375,en,Alvin and the Chipmunks: Chipwrecked,12.672,5.5,1055,False
55,Alvin and the Chipmunks: The Road Chip,2015.0,92.0,"Adventure,Animation,Comedy",5.1,14507.0,Fox,85900000.0,1.0,2015-12-18,90000000.0,249517956.0,-0.045700144444444445,1.7724217333333334,en,Alvin and the Chipmunks: The Road Chip,14.972999999999999,5.8,852,False
56,American Assassin,2017.0,112.0,"Action,Thriller",6.2,57793.0,LGF,36200000.0,1.0,2017-09-15,63000000.0,68310140.0,-0.4246083492063492,0.0842879365079365,en,American Assassin,15.434000000000001,6.3,1596,False
57,American Hero,2015.0,86.0,"Action,Comedy,Drama",4.9,3661.0,,,0.0,2015-12-11,1000000.0,26.0,-1.0,-0.999974,en,American Hero,6.56,5.0,93,False
58,American Honey,2016.0,163.0,"Adventure,Drama,Romance",7.0,31663.0,A24,663000.0,1.0,2016-09-30,3500000.0,2611750.0,-0.8105008571428571,-0.2537857142857143,en,American Honey,8.777999999999999,6.7,417,False
59,American Made,2017.0,115.0,"Action,Biography,Comedy",7.2,131043.0,Uni.,51300000.0,1.0,2017-09-29,50000000.0,135569212.0,0.02684,1.71138424,en,American Made,16.748,6.7,2188,False
60,American Reunion,2012.0,113.0,Comedy,6.7,192250.0,Uni.,57000000.0,1.0,2012-04-06,50000000.0,236799211.0,0.1351767,3.73598422,en,American Reunion,17.199,6.2,2679,False
61,American Sniper,2014.0,133.0,"Action,Biography,Drama",7.3,401915.0,WB,350100000.0,1.0,2014-12-25,58000000.0,547326372.0,5.036661586206897,8.436661586206897,en,American Sniper,18.473,7.4,7658,False
62,American Ultra,2015.0,96.0,"Action,Comedy,Sci-Fi",6.1,76769.0,LGF,14400000.0,1.0,2015-08-21,28000000.0,30295028.0,-0.48428625,0.08196528571428571,en,American Ultra,9.97,6.0,1756,False
63,Amour,2012.0,127.0,"Drama,Romance",7.9,84960.0,SPC,6700000.0,1.0,2012-12-19,9700000.0,36787044.0,-0.30526247422680414,2.792478762886598,fr,Amour,10.705,7.7,746,False
64,Anchorman 2: The Legend Continues,2013.0,119.0,Comedy,6.3,156116.0,Par.,125200000.0,1.0,2013-12-18,50000000.0,172185754.0,1.54705414,2.44371508,en,Anchorman 2: The Legend Continues,12.08,6.1,1408,False
65,And So It Goes,2014.0,94.0,"Comedy,Drama,Romance",5.8,11597.0,CE,15200000.0,1.0,2014-07-25,18000000.0,17920013.0,-0.15773327777777776,-0.004443722222222222,en,And So It Goes,8.235,5.9,264,False
66,Anna Karenina,2012.0,129.0,"Drama,Romance",6.6,84668.0,Focus,12800000.0,1.0,2012-11-16,49000000.0,71004627.0,-0.7384414897959184,0.44907402040816324,en,Anna Karenina,9.987,6.7,1265,False
67,Annabelle,2014.0,99.0,"Horror,Mystery,Thriller",5.4,122039.0,WB (NL),84300000.0,1.0,2014-10-03,6500000.0,256862920.0,11.965202,38.517372307692305,en,Annabelle,13.989,5.6,3357,False
68,Annabelle: Creation,2017.0,109.0,"Horror,Mystery,Thriller",6.5,90402.0,WB (NL),102100000.0,1.0,2017-08-11,15000000.0,305384865.0,5.806146733333334,19.358991,en,Annabelle: Creation,21.245,6.5,3141,False
69,Annihilation,2018.0,115.0,"Adventure,Drama,Horror",6.9,228664.0,,,0.0,2018-02-23,55000000.0,43070915.0,-0.4048672545454545,-0.21689245454545455,en,Annihilation,25.197,6.3,4465,False
70,Anomalisa,2015.0,90.0,"Animation,Comedy,Drama",7.3,58010.0,Par.,3800000.0,1.0,2015-12-30,8000000.0,5706168.0,-0.53008925,-0.286729,en,Anomalisa,10.285,7.1,927,False
71,Another Earth,2011.0,92.0,"Drama,Romance,Sci-Fi",7.0,85839.0,FoxS,1300000.0,1.0,2011-07-22,175000.0,2102779.0,6.54968,11.01588,en,Another Earth,10.03,6.7,853,False
72,Another Happy Day,2011.0,119.0,"Comedy,Drama",6.0,3793.0,P4,8500.0,1.0,2011-11-18,4000000.0,978527.0,-0.99772,-0.75536825,en,Another Happy Day,5.473,6.1,60,False
73,Another Year,2010.0,129.0,"Comedy,Drama",7.3,26273.0,SPC,3200000.0,1.0,2010-12-29,8000000.0,20005613.0,-0.59928675,1.500701625,en,Another Year,9.394,7.0,150,False
74,Ant-Man,2015.0,117.0,"Action,Adventure,Comedy",7.3,501213.0,BV,180200000.0,1.0,2015-07-17,130000000.0,518858449.0,0.3861704846153846,2.9912188384615384,en,Ant-Man,32.715,7.1,11949,False
75,Ant-Man and the Wasp,2018.0,118.0,"Action,Adventure,Comedy",7.1,244024.0,BV,216600000.0,1.0,2018-07-06,130000000.0,623144660.0,0.6665287692307692,3.7934204615384615,en,Ant-Man and the Wasp,44.729,7.0,6290,False
76,Antibirth,2016.0,94.0,Horror,4.9,2759.0,,,0.0,2016-09-02,2500000.0,0.0,-1.0,-1.0,en,Antibirth,5.716,4.8,66,False
77,Apollo 18,2011.0,86.0,"Horror,Mystery,Sci-Fi",5.2,51427.0,W/Dim.,17700000.0,1.0,2011-09-02,5000000.0,26517819.0,2.5373858,4.3035638,en,Apollo 18,8.384,5.0,486,False
78,Aquaman,2018.0,143.0,"Action,Adventure,Fantasy",7.1,263328.0,WB,335100000.0,1.0,2018-12-21,160000000.0,1146894640.0,1.09413629375,6.1680915,en,Aquaman,38.102,6.8,6155,False
79,Arbitrage,2012.0,107.0,"Drama,Thriller",6.6,46774.0,RAtt.,7900000.0,1.0,2012-09-14,12000000.0,35830713.0,-0.3400355,1.98589275,en,Arbitrage,12.14,6.2,459,False
80,Area 51,2015.0,91.0,"Horror,Sci-Fi,Thriller",4.2,11537.0,,,0.0,2015-05-15,5000000.0,7556.0,-0.9984888,-0.9984888,en,Area 51,6.794,4.4,248,False
81,Argo,2012.0,120.0,"Biography,Drama,Thriller",7.7,534683.0,WB,136000000.0,1.0,2012-10-12,44500000.0,227140757.0,2.0567528764044942,4.104286674157303,en,Argo,15.793,7.2,5127,False
82,Arthur,2011.0,110.0,"Comedy,Romance",5.7,49013.0,,,0.0,2011-04-08,40000000.0,47787943.0,-0.174115075,0.194698575,en,Arthur,7.886,5.5,399,False
83,Arthur Christmas,2011.0,97.0,"Adventure,Animation,Comedy",7.1,45439.0,Sony,46500000.0,1.0,2011-11-23,85000000.0,149717124.0,-0.45338271764705884,0.7613779294117647,en,Arthur Christmas,12.981,6.7,692,False
84,Atomic Blonde,2017.0,115.0,"Action,Mystery,Thriller",6.7,150407.0,Focus,51700000.0,1.0,2017-07-28,30000000.0,98345423.0,0.7191308333333334,2.2781807666666665,en,Atomic Blonde,21.662,6.3,3645,False
85,Attack the Block,2011.0,88.0,"Action,Comedy,Sci-Fi",6.7,93868.0,SGem,1000000.0,1.0,2011-07-29,13000000.0,6459183.0,-0.9212173076923077,-0.5031397692307692,en,Attack the Block,9.612,6.4,1144,False
86,Avengers: Age of Ultron,2015.0,141.0,"Action,Adventure,Sci-Fi",7.3,665594.0,BV,459000000.0,1.0,2015-05-01,330600000.0,1403013963.0,0.3884025045372051,3.2438413883847548,en,Avengers: Age of Ultron,44.383,7.3,13457,False
87,Avengers: Infinity War,2018.0,149.0,"Action,Adventure,Sci-Fi",8.5,670926.0,BV,678800000.0,1.0,2018-04-27,300000000.0,2048134200.0,1.2627182733333333,5.827114,en,Avengers: Infinity War,80.773,8.3,13948,False
88,Baby Driver,2017.0,113.0,"Action,Crime,Drama",7.6,363977.0,TriS,107800000.0,1.0,2017-06-28,34000000.0,228104185.0,2.171348882352941,5.708946617647059,en,Baby Driver,22.895,7.4,8034,False
89,Bad Moms,2016.0,100.0,Comedy,6.2,100952.0,STX,113300000.0,1.0,2016-07-29,20000000.0,180998716.0,4.66286485,8.0499358,en,Bad Moms,14.332,6.5,2600,False
90,Bad Times at the El Royale,2018.0,141.0,"Crime,Drama,Mystery",7.1,86318.0,,,0.0,2018-10-12,32000000.0,29204379.0,-0.44252765625,-0.08736315625,en,Bad Times at the El Royale,31.32,6.8,1365,False
91,Baggage Claim,2013.0,96.0,Comedy,5.1,8296.0,FoxS,21600000.0,1.0,2013-09-27,8500000.0,22885836.0,1.537589294117647,1.692451294117647,en,Baggage Claim,8.666,5.4,127,False
92,Bajrangi Bhaijaan,2015.0,163.0,"Action,Comedy,Drama",8.0,63747.0,Eros,8199999.0,0.0,2015-07-17,13000000.0,121778347.0,-0.370923,8.367565153846154,hi,बजरंगी भाईजान,7.122000000000001,7.9,232,True
93,Barbershop: The Next Cut,2016.0,111.0,"Comedy,Drama",5.9,13306.0,WB (NL),54000000.0,1.0,2016-04-15,20000000.0,54404202.0,1.70150255,1.7202101,en,Barbershop: The Next Cut,12.845999999999998,6.0,248,False
94,Batman v Superman: Dawn of Justice,2016.0,151.0,"Action,Adventure,Fantasy",6.5,576909.0,WB,330400000.0,1.0,2016-03-25,250000000.0,867500281.0,0.321440776,2.470001124,en,Batman v Superman: Dawn of Justice,28.088,5.8,11991,False
95,Battle of the Sexes,2017.0,121.0,"Biography,Comedy,Drama",6.7,43245.0,FoxS,12600000.0,0.0,2017-09-22,25000000.0,18445379.0,-0.49445896,-0.26218484,en,Battle of the Sexes,11.988,6.9,1045,False
96,Battleship,2012.0,131.0,"Action,Adventure,Sci-Fi",5.8,225342.0,Uni.,65400000.0,1.0,2012-05-18,220000000.0,313477717.0,-0.7034845454545454,0.4248987136363636,en,Battleship,21.741999999999997,5.6,3240,False
97,Beastly,2011.0,86.0,"Drama,Fantasy,Romance",5.6,72599.0,CBS,27900000.0,1.0,2011-03-04,17000000.0,38028230.0,0.6391512352941177,1.236954705882353,en,Beastly,10.136000000000001,6.1,1748,False
98,Beautiful Creatures,2013.0,124.0,"Drama,Fantasy,Romance",6.2,79764.0,,,0.0,2013-02-14,50000000.0,60282876.0,-0.61095724,0.20565752,en,Beautiful Creatures,11.198,5.7,1826,False
99,Before I Fall,2017.0,98.0,"Drama,Fantasy,Mystery",6.4,39282.0,ORF,12200000.0,0.0,2017-03-03,5000000.0,18945682.0,1.4482144,2.7891364,en,Before I Fall,14.584000000000001,7.0,2135,False
100,Before I Go to Sleep,2014.0,92.0,"Drama,Horror,Mystery",6.3,64684.0,,,0.0,2014-10-31,22000000.0,19563579.0,-0.8526155909090909,-0.11074640909090909,en,Before I Go to Sleep,16.07,6.4,1098,False
101,Believe,2016.0,87.0,,6.5,49.0,ORF,6200000.0,0.0,2016-12-02,3500000.0,890303.0,-0.7456277142857143,-0.7456277142857143,en,Believe,1.536,6.5,11,False
102,Ben-Hur,2016.0,123.0,"Action,Adventure,Drama",5.7,37975.0,,,0.0,2016-08-19,95000000.0,91669648.0,-0.7219949789473684,-0.03505633684210526,en,Ben-Hur,10.11,5.6,1068,False
103,Beyond the Lights,2014.0,116.0,"Drama,Music,Romance",6.9,14122.0,,,0.0,2014-11-14,7000000.0,14618727.0,1.0883895714285714,1.0883895714285714,en,Beyond the Lights,7.7170000000000005,7.0,238,False
104,Big Eyes,2014.0,87.0,Documentary,7.2,43.0,Wein.,14500000.0,1.0,2014-12-25,10000000.0,27317872.0,0.4482031,1.7317872,en,Big Eyes,12.017000000000001,7.0,2153,False
105,Big Hero 6,2014.0,102.0,"Action,Adventure,Animation",7.8,371204.0,BV,222500000.0,1.0,2014-11-07,165000000.0,652127828.0,0.348653503030303,2.952289866666667,en,Big Hero 6,36.92,7.8,10176,False
106,Big Miracle,2012.0,107.0,"Biography,Drama,Family",6.5,17585.0,Uni.,20200000.0,1.0,2012-02-03,40000000.0,25268680.0,-0.4960675,-0.368283,en,Big Miracle,6.76,6.6,250,False
107,"Big Mommas: Like Father, Like Son",2011.0,107.0,"Action,Comedy,Crime",4.4,23520.0,Fox,37900000.0,1.0,2011-02-18,32000000.0,82332450.0,0.1848566875,1.5728890625,en,"Big Mommas: Like Father, Like Son",16.024,5.5,623,False
108,Bitter Harvest,2017.0,103.0,"Drama,Romance,War",6.1,3057.0,,,0.0,2017-02-24,21000000.0,606162.0,-0.9734647142857142,-0.9711351428571429,en,Bitter Harvest,5.489,6.2,42,False
109,Black Mass,2015.0,123.0,"Biography,Crime,Drama",6.9,155847.0,WB,62600000.0,1.0,2015-09-18,53000000.0,98837872.0,0.18067316981132076,0.8648655094339622,en,Black Mass,14.645999999999999,6.4,2020,False
110,Black Nativity,2013.0,93.0,"Drama,Family,Music",4.6,1901.0,FoxS,7000000.0,1.0,2013-11-27,17500000.0,7285135.0,-0.5989606857142857,-0.5837065714285714,en,Black Nativity,1.7790000000000001,5.7,25,False
111,Black Panther,2018.0,134.0,"Action,Adventure,Sci-Fi",7.3,516148.0,BV,700100000.0,1.0,2018-02-16,200000000.0,1348258224.0,2.50029783,5.74129112,en,Black Panther,44.14,7.4,12365,False
112,Black Swan,2010.0,108.0,"Drama,Thriller",8.0,648854.0,FoxS,107000000.0,1.0,2010-12-03,13000000.0,331266710.0,7.227282923076923,24.482054615384616,en,Black Swan,13.745,7.6,8374,False
113,Blackhat,2015.0,133.0,"Action,Crime,Thriller",5.4,48427.0,Uni.,8000000.0,1.0,2015-01-16,70000000.0,19665004.0,-0.8856288571428571,-0.7190713714285715,en,Blackhat,16.824,5.3,1165,False
114,Blackthorn,2011.0,102.0,"Action,Adventure,Western",6.6,8553.0,Magn.,201000.0,1.0,2011-10-07,4500000.0,1217307.0,-0.9554315555555556,-0.7294873333333334,en,Blackthorn,7.547999999999999,6.7,111,False
115,Blade Runner 2049,2017.0,164.0,"Drama,Mystery,Sci-Fi",8.0,376241.0,WB,92100000.0,1.0,2017-10-06,185000000.0,259357408.0,-0.5024099513513514,0.40193193513513514,en,Blade Runner 2049,48.571000000000005,7.4,6679,False
116,Blair Witch,2016.0,89.0,"Horror,Mystery,Thriller",5.0,36867.0,LGF,20800000.0,1.0,2016-09-16,10000000.0,38985577.0,1.0777061,2.8985577,en,Blair Witch,9.772,5.0,1094,False
117,Blended,2014.0,117.0,"Comedy,Romance",6.5,106491.0,WB,46300000.0,1.0,2014-05-23,45000000.0,127990741.0,0.028683133333333333,1.8442386888888889,en,Blended,10.613,6.7,1709,False
118,Blockers,2018.0,102.0,Comedy,6.2,57142.0,Uni.,60300000.0,1.0,2018-04-06,21000000.0,94045328.0,1.8719759523809525,3.4783489523809523,en,Blockers,21.840999999999998,6.1,969,False
119,Blood Ties,2014.0,87.0,Documentary,6.5,49.0,ALP,2800.0,0.0,2014-03-21,26000000.0,2923959.0,-0.9983664615384615,-0.8875400384615385,en,Blood Ties,12.003,6.1,268,False
120,Blue Jasmine,2013.0,98.0,Drama,7.3,179453.0,SPC,33400000.0,1.0,2013-07-26,18000000.0,102912961.0,0.8558261666666667,4.717386722222222,en,Blue Jasmine,10.443,7.0,1983,False
121,Blue Like Jazz,2012.0,108.0,"Comedy,Drama",5.9,2810.0,,,0.0,2012-04-13,1200000.0,595018.0,-0.5041516666666667,-0.5041516666666667,en,Blue Like Jazz,3.253,5.9,35,False
122,Blue Valentine,2010.0,112.0,"Drama,Romance",7.4,170089.0,Wein.,9700000.0,1.0,2010-12-29,1000000.0,16566240.0,8.737892,15.56624,en,Blue Valentine,8.994,6.9,1677,False
123,Bohemian Rhapsody,2018.0,134.0,"Biography,Drama,Music",8.0,345466.0,Fox,216400000.0,1.0,2018-11-02,55000000.0,894985342.0,2.9327879818181817,15.272460763636364,en,Bohemian Rhapsody,37.196999999999996,8.1,7629,False
